name,description,address,regularPrice,discountPrice,bathrooms,bedrooms,furnished,parking,type,offer,userRef
nil,​,525 Anderson Plaza,26967,24851,15,2,false,false,false,false,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣
"'""'",1'; DROP TABLE users--,53 Garrison Junction,18627,98396,12,11,false,true,false,true,1/0
1/0,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",64098 Trailsway Road,69770,11516,19,8,false,true,false,true,0/0
999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,test⁠test‫,6942 Susan Way,7332,70805,18,3,true,false,true,true,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥
,​,02791 Novick Circle,33974,42433,19,3,false,true,true,true,NULL
１２３,<svg><script>0<1>alert('XSS')</script>,34 Del Mar Crossing,36918,80568,20,16,true,true,true,false,1.00
和製漢語,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,86900 Glacier Hill Road,46406,98575,18,15,false,true,false,true,　
test⁠test‫,사회과학원 어학연구소,9 Northview Crossing,78630,43967,11,3,false,false,false,true, 
(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,｀ｨ(´∀｀∩,12419 Stuart Place,36420,27641,13,10,true,false,true,true,␡
1'; DROP TABLE users--,᠎,660 Lakeland Avenue,3616,50460,17,14,false,false,true,false,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣
˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,nil,5 Westerfield Plaza,9972,77016,13,6,true,true,true,false,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻
ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,和製漢語,563 Fallview Parkway,32608,18717,3,13,false,false,true,true,⁰⁴⁵
ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,部落格,4039 International Drive,5592,90182,4,0,true,true,false,false,../../../../../../../../../../../etc/passwd%00
⁰⁴⁵₀₁₂,1/2,92 Ilene Way,15031,22028,8,6,true,true,true,true,👩🏽
0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,4 Monica Lane,23711,61861,19,3,true,false,false,false,パーティーへ行かないか
❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,NIL,2 Starling Pass,35014,78261,19,16,true,false,true,true,‪‪test‪
"""''''""'""",和製漢語,574 Pennsylvania Center,35829,65861,9,9,false,true,false,false,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ"
(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,<script>alert('hi')</script>,6828 Florence Center,49396,39723,14,5,false,false,false,true,œ∑´®†¥¨ˆøπ“‘
../../../../../../../../../../../etc/hosts,1E+02,4 Maryland Road,115,3615,11,10,true,false,true,true,nil
/dev/null; touch /tmp/blns.fail ; echo,0.00,92358 Laurel Center,29140,23547,5,8,false,true,false,false,₀₁₂
0.00,<img src=x onerror=alert('hi') />,2202 Chinook Lane,88054,93412,18,7,true,true,true,true,1E02
𠜎𠜱𠝹𠱓𠱸𠲖𠳏,<svg><script>0<1>alert('XSS')</script>,0801 Caliangt Circle,65150,38803,20,2,true,true,true,false, 
‫test‫, ,19162 Truax Point,25489,56030,2,9,false,false,false,true,　
⁰⁴⁵₀₁₂,../../../../../../../../../../../etc/passwd%00,20 Randy Trail,955,77572,6,13,false,false,false,true,0/0
-1,・(￣∀￣)・:*:,5514 Golf Terrace,59289,21129,15,10,true,false,false,true,　
nil,田中さんにあげて下さい,3836 Arkansas Park,67735,1743,0,0,true,true,false,true,¸˛Ç◊ı˜Â¯˘¿
̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,Ω≈ç√∫˜µ≤≥÷,419 Shoshone Court,6974,13871,18,17,true,false,false,false,00˙Ɩ$-
test⁠test‫,-1E02,01 Saint Paul Court,70882,34382,2,10,false,false,false,false,NIL
1/2,הָיְתָהtestالصفحات التّحول,9347 Moose Way,58311,12587,1,0,true,true,true,true,1E02
⁰⁴⁵₀₁₂,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,5757 Forest Hill,19251,8607,2,12,false,false,false,true,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟
｀ｨ(´∀｀∩,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,33049 Dixon Parkway,31601,46305,6,18,false,true,true,true,﻿
 ,œ∑´®†¥¨ˆøπ“‘,99 Washington Street,22515,36628,19,9,false,true,true,false,<svg><script>0<1>alert('XSS')</script>
・(￣∀￣)・:*:,1,42333 Sherman Alley,2768,7829,5,15,true,true,true,false,$1.00
0.00,"'""'",720 Crescent Oaks Terrace,29126,79722,15,6,true,false,false,true,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ 
œ∑´®†¥¨ˆøπ“‘,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,29 Sundown Center,44843,26400,6,3,false,true,false,true,1;DROP TABLE users
❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,,33389 Dennis Way,21127,77977,14,19,false,false,false,false,𠜎𠜱𠝹𠱓𠱸𠲖𠳏
null,-1/2,682 Bunker Hill Place,96201,46545,19,20,true,true,false,false,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ
test⁠test‫,"<>?:""{}|_+",30 Jenna Street,10428,81616,13,13,false,true,false,false,사회과학원 어학연구소
社會科學院語學研究所,() { 0; }; touch /tmp/blns.shellshock1.fail;,7 Basil Alley,9615,85607,5,3,true,true,false,true,-1E2
(╯°□°）╯︵ ┻━┻)  ,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,22007 Darwin Place,54849,41171,20,11,true,true,true,false,1.00
✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,👩🏽,0411 Bluestem Parkway,89799,17376,4,0,true,false,true,false,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰
1.00,"<>?:""{}|_+",0 Magdeline Park,98601,2877,19,6,true,false,true,false,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟
0.00,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },0 Lakeland Avenue,15549,17271,18,5,true,true,true,false,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 
社會科學院語學研究所,הָיְתָהtestالصفحات التّحول,2 Oakridge Terrace,1028,27196,16,13,false,true,false,true,"""''''""'"""
null,"""""",06 Dapin Crossing,60488,10752,12,15,false,true,true,true,﻿
和製漢語,<script>alert('hi')</script>,0 Atwood Hill,68440,86462,1,8,false,true,true,false,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿
0/0,NIL,2829 Carberry Avenue,13854,12923,6,17,false,true,false,true,👩🏽
・(￣∀￣)・:*:,00˙Ɩ$-,92682 Tony Circle,88010,79493,14,0,false,true,false,true,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 
",./;'[]\-=",１２３,8715 New Castle Street,12927,49201,7,7,false,false,false,true,"'""'"
Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,61870 Scofield Drive,6781,43148,9,13,true,true,false,true,　
"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,746 Raven Center,68084,6882,12,6,false,true,true,false,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿
1;DROP TABLE users,",./;'[]\-=",458 Morning Center,18303,3172,8,8,true,false,true,true,"<>?:""{}|_+"
test⁠test‫,-$1.00,6 Sunfield Crossing,86254,29576,1,18,true,false,false,false,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿
１２３,₀₁₂,1 Bluestem Alley,24629,41097,14,18,true,false,false,true,｀ｨ(´∀｀∩
̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,(｡◕ ∀ ◕｡),255 Ludington Street,19689,21493,3,17,true,false,false,true,''
울란바토르,Ω≈ç√∫˜µ≤≥÷,6 Charing Cross Terrace,9343,37373,9,10,false,false,false,false,⁰⁴⁵
‪‪test‪,　,2 Dottie Road,17574,84004,9,19,false,true,false,true,1
1E+02,1E02,8760 Fairfield Street,20334,16822,9,2,true,false,false,true,1.00
1/2,הָיְתָהtestالصفحات التّحول,95369 5th Alley,71275,2188,2,15,true,true,true,false,-1E02
部落格,😍,0718 Division Drive,89201,39628,4,8,true,false,true,true,(｡◕ ∀ ◕｡)
和製漢語,test⁠test‫,726 Rusk Point,72205,37036,15,9,true,true,true,false,test⁠test‫
-1.00,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",9516 Stephen Avenue,73045,28866,0,8,true,false,true,true,הָיְתָהtestالصفحات التّحول
",./;'[]\-=",部落格,6476 John Wall Point,82117,13141,6,17,true,false,true,false,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ"
NIL,Œ„´‰ˇÁ¨ˆØ∏”’,14 Pond Parkway,52304,19161,15,10,false,false,true,true,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ 
NULL,田中さんにあげて下さい,996 American Ash Park,8224,89022,0,0,true,true,true,false,nil
1,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,60 Canary Lane,52085,35146,14,19,false,false,false,true,😍
ÅÍÎÏ˝ÓÔÒÚÆ☃,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,29510 Ohio Way,55931,39541,19,20,true,false,false,false,$1.00
-1.00,・(￣∀￣)・:*:,280 Grasskamp Point,91057,5702,18,17,false,true,false,false,NULL
/dev/null; touch /tmp/blns.fail ; echo,-1E02,41874 Wayridge Pass,35473,43900,7,17,false,false,true,true,١٢٣
사회과학원 어학연구소,0.00,0233 Lukken Place,663,48899,16,8,true,false,false,true,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿
-$1.00,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",268 Ronald Regan Point,41834,17967,19,15,true,true,true,false,-1/2
﻿,`⁄€‹›ﬁﬂ‡°·‚—±,66 David Hill,50556,81368,5,10,true,false,false,false,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿
¸˛Ç◊ı˜Â¯˘¿,¡™£¢∞§¶•ªº–≠,52938 Pleasure Parkway,72099,60898,3,13,true,true,true,false,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰
-1E02,"""'""'""''''""",561 Autumn Leaf Pass,50739,67842,12,16,true,false,true,false, 
‫test‫,1/0,22797 Myrtle Place,51661,83152,2,2,true,false,false,false,../../../../../../../../../../../etc/passwd%00
œ∑´®†¥¨ˆøπ“‘,-1.00,4042 Crownhardt Street,91925,15676,17,10,true,true,true,true,`⁄€‹›ﬁﬂ‡°·‚—±
<script>alert('hi')</script>,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,7768 Veith Court,34472,64711,4,15,false,true,false,true,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟
(｡◕ ∀ ◕｡),¡™£¢∞§¶•ªº–≠,852 Forest Crossing,56170,71213,7,3,false,true,false,true,<script>alert('hi')</script>
0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,/dev/null; touch /tmp/blns.fail ; echo,39057 Steensland Avenue,23704,84084,16,13,true,true,false,true,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ
¸˛Ç◊ı˜Â¯˘¿,nil,9 Stoughton Plaza,68304,39818,16,9,true,false,false,true,・(￣∀￣)・:*:
/dev/null; touch /tmp/blns.fail ; echo,　,7 Anthes Parkway,32860,48040,3,16,true,false,false,false,(｡◕ ∀ ◕｡)
../../../../../../../../../../../etc/passwd%00,$1.00,77447 Meadow Ridge Alley,94684,51030,16,7,false,false,true,false,울란바토르
<script>alert('hi')</script>,　,0 Harper Plaza,33790,94884,15,20,false,true,true,true,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧
",./;'[]\-=",1E+02,5 Cardinal Way,18918,44840,15,15,true,false,true,true,""""
0/0,﻿,60324 Grim Point,25181,44618,10,2,false,true,true,false,‫test‫
"'""'",-1E+02,98 Di Loreto Crossing,91366,83459,19,5,false,false,false,false,-1.00
사회과학원 어학연구소,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,4 Continental Crossing,503,36412,4,13,true,true,false,false,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮
הָיְתָהtestالصفحات التّحول,　,792 Green Ridge Place,6969,44312,7,15,false,false,true,false,NIL
1/0,␣,199 Kennedy Trail,84819,61817,4,9,false,true,false,true,-1E02
null,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,9822 Cherokee Place,90363,5694,14,11,false,false,false,true,0/0
",./;'[]\-=",(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,3596 Knutson Lane,23462,19856,17,19,true,true,true,true,␡
⁰⁴⁵₀₁₂,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",44 Fuller Hill,1664,74326,20,17,true,true,true,false,<script>alert('hi')</script>
"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",¡™£¢∞§¶•ªº–≠,9699 Bunting Junction,67252,64204,0,16,false,false,true,false,1/0
᠎,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,47 Pleasure Place,31069,6968,5,16,false,true,false,true,１２３
﻿,␣,35 Eastlawn Center,46483,45496,6,9,false,false,false,true,사회과학원 어학연구소
・(￣∀￣)・:*:,test⁠test‫,8 Bellgrove Drive,41234,48716,9,17,false,true,false,false,⁦test⁧
"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",,48 Little Fleur Crossing,28124,34223,5,9,true,true,true,false,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’"
✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,test⁠test‫,0176 Dovetail Park,93558,19792,15,1,true,true,true,true,¡™£¢∞§¶•ªº–≠
